country,patents_2014_2018,patents_2019_2024,share_2014_2018,share_2019_2024,share_change,momentum
CN,474.0,1808.0,1.26,3.7,2.44,⬆ Gaining
CA,570.0,1230.0,1.52,2.51,0.99,⬆ Gaining
US,14530.0,19382.0,38.74,39.61,0.87,⬆ Gaining
IN,246.0,588.0,0.66,1.2,0.54,⬆ Gaining
GB,1057.0,1641.0,2.82,3.35,0.53,⬆ Gaining
CH,160.0,332.0,0.43,0.68,0.25,➡ Stable
SE,423.0,643.0,1.13,1.31,0.18,➡ Stable
CZ,41.0,129.0,0.11,0.26,0.15,➡ Stable
PL,35.0,98.0,0.09,0.2,0.11,➡ Stable
AT,208.0,325.0,0.55,0.66,0.11,➡ Stable
KR,2428.0,3208.0,6.47,6.56,0.09,➡ Stable
IL,78.0,137.0,0.21,0.28,0.07,➡ Stable
IT,391.0,540.0,1.04,1.1,0.06,➡ Stable
FI,64.0,103.0,0.17,0.21,0.04,➡ Stable
ES,114.0,151.0,0.3,0.31,0.01,➡ Stable
TW,251.0,329.0,0.67,0.67,0.0,➡ Stable
FR,1621.0,2111.0,4.32,4.31,-0.01,➡ Stable
AU,96.0,122.0,0.26,0.25,-0.01,➡ Stable
NL,139.0,175.0,0.37,0.36,-0.01,➡ Stable
NZ,74.0,91.0,0.2,0.19,-0.01,➡ Stable
BE,159.0,201.0,0.42,0.41,-0.01,➡ Stable
DK,87.0,94.0,0.23,0.19,-0.04,➡ Stable
DE,4031.0,4922.0,10.75,10.06,-0.69,⬇ Losing
JP,9888.0,9930.0,26.36,20.29,-6.07,⬇ Losing
