patent_id,title,year,filing_date,inventor_name,inventor_country,inventor_city,company_name,company_country
12186717,"Mixer, mixer assembly and mixing method",2025,2025-01-07,Thibault Fouquet,CN,Shanghai,Cummins Emission Solutions Inc.,US
12186717,"Mixer, mixer assembly and mixing method",2025,2025-01-07,Jian Gao,CN,Shanghai,Cummins Emission Solutions Inc.,US
12186717,"Mixer, mixer assembly and mixing method",2025,2025-01-07,Ludovic Geant,CN,Shanghai,Cummins Emission Solutions Inc.,US
12186970,Multi-arm forming device for space on-orbit composite braiding,2025,2025-01-07,Yiwei Chen,CN,Nanjing,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,CN
12186970,Multi-arm forming device for space on-orbit composite braiding,2025,2025-01-07,Yaxing Song,CN,Nanjing,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,CN
12186970,Multi-arm forming device for space on-orbit composite braiding,2025,2025-01-07,Congze Fan,CN,Nanjing,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,CN
12186970,Multi-arm forming device for space on-orbit composite braiding,2025,2025-01-07,Wenzhe Song,CN,Nanjing,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,CN
12186970,Multi-arm forming device for space on-orbit composite braiding,2025,2025-01-07,Zhongde Shan,CN,Nanjing,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,CN
12186970,Multi-arm forming device for space on-orbit composite braiding,2025,2025-01-07,Jinghua Zheng,CN,Nanjing,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,CN
12186998,Stringer plug,2025,2025-01-07,George M. Osborne,US,Wichita,,
12187075,Tire,2025,2025-01-07,Hiroshi Yamaoka,JP,Kasai,"SUMITOMO RUBBER INDUSTRIES, LTD.",JP
12187075,Tire,2025,2025-01-07,Yuichi ISHIGAKI,JP,Kobe,"SUMITOMO RUBBER INDUSTRIES, LTD.",JP
12187094,Thermal management system,2025,2025-01-07,Nobuharu Kakehashi,JP,Kariya,DENSO CORPORATION,JP
12187094,Thermal management system,2025,2025-01-07,Tomohiro Hayase,JP,Kariya,DENSO CORPORATION,JP
12187110,Body structure for an electrically operated vehicle,2025,2025-01-07,Ingo Lueken,DE,Tappenbeck,VOLKSWAGEN AKTIENGESELLSCHAFT,DE
12187110,Body structure for an electrically operated vehicle,2025,2025-01-07,Thomas Schilling,DE,Hillandale Drive East,VOLKSWAGEN AKTIENGESELLSCHAFT,DE
12187110,Body structure for an electrically operated vehicle,2025,2025-01-07,Werner Krauth,DE,Wolfsburg,VOLKSWAGEN AKTIENGESELLSCHAFT,DE
12187110,Body structure for an electrically operated vehicle,2025,2025-01-07,Nicole Wallmann,DE,Knesebeck,VOLKSWAGEN AKTIENGESELLSCHAFT,DE
12187113,"Ventilation device module for a motor vehicle cooling module, ventilation device comprising such a module, and cooling module for a motor vehicle comprising such a ventilation device",2025,2025-01-07,Sébastien Garnier,FR,Le Mousseau,Valeo Systemes Thermiques,FR
12187113,"Ventilation device module for a motor vehicle cooling module, ventilation device comprising such a module, and cooling module for a motor vehicle comprising such a ventilation device",2025,2025-01-07,Kamel Azzouz,FR,Le Mousseau,Valeo Systemes Thermiques,FR
