patent_id,forward_citations,title,year,company_id,name
7604151,2398,Surgical stapling systems and staple cartridges for deploying surgical staples with tissue compression features,2009,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
7438209,2383,Surgical stapling instruments having a releasable staple-forming pocket,2008,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
8590762,2199,Staple cartridge cavity configurations,2013,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
8186560,2172,Surgical stapling systems and staple cartridges for deploying surgical staples with tissue compression features,2012,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
7669747,2133,Washer for use with a surgical stapling instrument,2010,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
7735703,2112,Re-loadable surgical stapling instrument,2010,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
7673782,2094,Surgical stapling instrument having a releasable buttress material,2010,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
8727197,1804,Staple cartridge cavity configuration with cooperative surgical staple,2014,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
8672208,1741,Surgical stapling instrument having a releasable buttress material,2014,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
6492785,1593,Variable current limit control for vehicle electric drive system,2002,17b756b2-5243-4284-9053-957d4df02f9a,DEERE & COMPANY
8668130,1536,Surgical stapling systems and staple cartridges for deploying surgical staples with tissue compression features,2014,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
5260637,1507,"Electrical system for a motor vehicle, including at least one supercapacitor",1993,84b0f08a-3695-4e0a-a472-1b4bca49e07c,Magneti Marelli S.p.A.
8925788,1491,End effectors for surgical stapling instruments,2015,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
8991676,1465,Surgical staple having a slidable crown,2015,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
7199537,1431,"Voltage converter control apparatus, and method",2007,87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA
6777838,1424,Methods and apparatus for increasing power of permanent magnet motors,2004,,
4106446,1402,Internal combustion engine with auxiliary combustion chamber,1978,ef910a16-7814-45bb-869e-475c09dc70d3,KABUSHIKI KAISHA TOYOTA CHUO KENKYUSHO
4054108,1356,Internal combustion engine,1977,04286cbe-09f8-4678-a777-007563e32936,General Motors LLC
9289206,1333,Lateral securement members for surgical staple cartridges,2016,ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,"Ethicon Endo-Surgery, Inc."
7923144,1215,Tunable frangible battery pack system,2011,caca66c2-82a1-4065-94bd-6a977a0ba5d8,"Tesla Motors, Inc."
