Company,Count Rank Patents,Total Citations,Avg Citations
TOYOTA JIDOSHA KABUSHIKI KAISHA,9958,65321,6.56
"FORD GLOBAL TECHNOLOGIES, LLC",6748,47500,7.04
General Electric Company,4740,76515,16.14
"HONDA MOTOR CO., LTD.",4030,34252,8.5
GM GLOBAL TECHNOLOGY OPERATIONS LLC,3750,20891,5.57
Hyundai Motor Company,3729,7132,1.91
"Nissan Motor Co., Ltd.",2673,29861,11.17
Robert Bosch GmbH,2636,17659,6.7
UNITED TECHNOLOGIES CORPORATION,2609,39409,15.11
The Boeing Company,2453,29629,12.08
DENSO CORPORATION,1977,12154,6.15
Kia Motors Corporation,1912,2320,1.21
MITSUBISHI ELECTRIC CORPORATION,1510,8765,5.8
Caterpillar Inc.,1342,12747,9.5
"HITACHI, LTD.",1229,19497,15.86
RAYTHEON TECHNOLOGIES CORPORATION,1191,1904,1.6
ROLLS-ROYCE plc,1149,8570,7.46
Mazda Motor Corporation,1083,8112,7.49
AIRBUS OPERATIONS LIMITED,1057,3133,2.96
General Motors LLC,922,24965,27.08
