company_id,patent_count,total_citations,max_citations,avg_citations_per_patent,name,country
ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,13,24861,2398,1912.38,"Ethicon Endo-Surgery, Inc.",US
fe8cae87-69a1-4d32-9f01-5b6f3af9d931,26,5196,373,199.85,Oshkosh Truck Corporation,US
e2c0faec-6d87-4f3d-a7cb-71a7de8605fc,16,3173,698,198.31,Donnelly Corporation,US
643219d4-3134-43f8-b901-2f6e75309a0c,10,1921,337,192.1,"Clean Energy Systems, Inc.",US
e2939ff2-d3c5-4d61-8f7a-75edc579c65a,15,1360,279,90.67,PAICE LLC,US
51cea45b-9759-4ea4-b132-d1182a7121ca,13,1068,328,82.15,Corning Glass Works,US
2f575952-3f81-44d0-92a5-6c7441994272,14,1092,1031,78.0,MAKITA CORPORATION,JP
ed02febd-c44c-4ca7-8b95-dad6cc5c1a71,10,756,179,75.6,"ECHOGEN POWER SYSTEMS, LLC",US
f8461ee2-6a47-4b91-b873-07493feffae4,14,1048,138,74.86,"Segway, Inc.",US
fc849baf-86f1-4b30-9ee2-9913901690bb,39,2813,349,72.13,KABUSHIKIKAISHA EQUOS RESEARCH,JP
8ab402a0-baac-483c-b51d-c76d465b7078,10,645,289,64.5,Mobil Oil Corporation,US
8d21f773-a9c8-4e74-b731-77c4b3d4d3a0,26,1654,284,63.62,Hughes Aircraft Company,US
7178f58f-e62b-4d62-bcb8-2cc6f0cda9d0,10,628,212,62.8,Better Place GmbH,CH
5763e81a-f2d2-43c7-8acb-6b76c1610469,10,611,146,61.1,The United States of America as represented by the Administrator of the Environmental Protection Agency,US
ed6124a8-b349-4dd4-9e5c-0dff822131a7,153,9139,1066,59.73,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,US
bd8a0d80-df04-4ece-aed0-724422ab30ec,78,4645,282,59.55,DEKA PRODUCTS LIMITED PARTNERSHIP,US
a9af6005-0a5e-4ac9-bf00-76decd26d14b,10,585,206,58.5,"GridPoint, Inc.",US
08dcb35e-70b2-4c84-b57c-02ad169716cc,23,1326,138,57.65,Minnesota Mining and Manufacturing Company,US
be73794f-3b2e-4fe1-970f-242fab096521,11,617,202,56.09,Coulomb Technologies,US
e88cf880-018a-40d6-9248-62e3fb1849d0,18,975,209,54.17,"Turbodyne Systems, Inc.",US
