company_id,patent_count,total_citations,max_citations,avg_citations_per_patent,name,country
b904f566-62d6-44a5-8689-7b5c5a3a1a19,4740,76515,373,16.14,General Electric Company,US
87bbd77e-54e0-4d95-9c1b-7843963c09eb,9958,65321,1431,6.56,TOYOTA JIDOSHA KABUSHIKI KAISHA,JP
8a03b7d9-0444-4dfc-9737-bf029c47a462,6748,47500,287,7.04,"FORD GLOBAL TECHNOLOGIES, LLC",US
46150e0c-8edb-4d25-8256-5f90d9acc689,2609,39409,1009,15.11,UNITED TECHNOLOGIES CORPORATION,US
7fd570bb-8d88-4ad9-832b-532add7b7500,4030,34252,236,8.5,"HONDA MOTOR CO., LTD.",JP
cb5367eb-ebac-459a-b013-d92860572522,2673,29861,215,11.17,"Nissan Motor Co., Ltd.",JP
d741637e-71a6-4101-a7db-0c2ba20a2958,2453,29629,204,12.08,The Boeing Company,US
04286cbe-09f8-4678-a777-007563e32936,922,24965,1356,27.08,General Motors LLC,US
ccf2c670-80e1-4e6f-990c-2a3f04f5dc37,13,24861,2398,1912.38,"Ethicon Endo-Surgery, Inc.",US
f94290bc-7c0d-49af-9797-828af77eb9c7,3750,20891,220,5.57,GM GLOBAL TECHNOLOGY OPERATIONS LLC,US
93f8c962-7a18-45c0-b192-7a141f9a8b6c,1229,19497,701,15.86,"HITACHI, LTD.",JP
1c631b96-8301-4819-bd8c-2e69e2ef6c76,2636,17659,979,6.7,Robert Bosch GmbH,DE
75af58a7-54a5-41c1-8dd7-ee4f50e46e9d,1342,12747,160,9.5,Caterpillar Inc.,US
1d443c32-beaa-448d-b67c-2e60c804fd0a,1977,12154,276,6.15,DENSO CORPORATION,JP
af4c7e42-7ad3-4643-9c05-4025381f0877,435,11135,314,25.6,Ford Motor Company,US
ed6124a8-b349-4dd4-9e5c-0dff822131a7,153,9139,1066,59.73,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,US
1b7df2b5-6ba8-45e7-978f-a91d69bf49be,765,8799,213,11.5,HONEYWELL INTERNATIONAL INC.,US
74c11be2-20ec-49fe-ac26-d839d375bd32,1510,8765,182,5.8,MITSUBISHI ELECTRIC CORPORATION,JP
c225b866-c934-43b6-9f0a-0d206158dd5b,1149,8570,161,7.46,ROLLS-ROYCE plc,GB
1bca0293-4d34-4fa3-bf27-faa537257421,1083,8112,110,7.49,Mazda Motor Corporation,JP
