name,country,city,patent_count
Gopichandra Surnilla,US,Beverly Hills,355
Atsushi Tabata,JP,Okazaki,315
Ross Dykstra Pursifull,US,Dearborn,300
Shinji Ichikawa,JP,Toyota,218
Joseph Norman Ulrey,US,Dearborn,211
Thomas G. Leone,US,Ypsilanti,209
Gabriel L. Suciu,US,Glastonbury,207
Jeffrey Allen Doering,US,Canton,207
Anthony H. Heap,US,Ann Arbor,198
Frederick M. Schwarz,US,Glastonbury,190
Ming Lang Kuang,US,Canton,190
Aed M. Dudar,US,Canton,186
Chris Paul Glugla,US,Chesterfield Township,173
Tooru Matsubara,JP,Miyoshi,166
Norio Takami,JP,Yokohama,163
Michiel J. Van Nieuwstadt,US,Ann Arbor,161
Ted J. Freeman,US,Danville,153
Ajith Kuttannair Kumar,US,Erie,150
Michael W. Degner,US,Novi,148
Ching-Pang Lee,US,Cincinnati,146
